PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5''
Tyler Ulis,PG,5.20%,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2''
John Lucas III,PG,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0''
Russ Smith,PG,3.50%,8.25,8.5,5' 11.5'',6' 0.75'',7' 11'',160,6' 3.5''
Daryl Dorsey,PG,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5''
Aaron Brooks,PG,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161,6' 4''
T.J. Ford,PG,6.70%,-,-,5' 11'',,7' 9.5'',162,5' 11.5''
Marcus Hatten,PG,4.00%,-,-,6' 0.75'',,8' 2'',163,6' 6.25''
Eric Maynor,PG,5.40%,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5''
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25''
Dennis Schroder,PG,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75''
Hollis Price,PG-SG,7.30%,-,-,5' 11.5'',,7' 10.5'',165,6' 4.5''
Travis Diener,PG-SG,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75''
Tyrone Brazelton,PG,8.10%,-,-,5' 10'',5' 11'',7' 10'',166,6' 1.75''
Mike Taylor,SG-PG,3.80%,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25''
Darren Collison,PG,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3''
Kobi Simmons,PG,5.00%,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
Luke Ridnour,PG,5.30%,-,-,6' 1'',,7' 11.5'',167,6' 3''
DaShaun Wood,PG,5.40%,-,-,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75''
Keifer Sykes,PG,5.00%,8.5,9.5,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2''
Kyle Guy,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Jamaal Tatum,PG,5.00%,-,-,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5''
Jared Harper,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Ryan Boatright,PG,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5''
De?Aaron Fox,PG,4.50%,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170,6' 7.5''
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170,5' 11.5''
Bobby Brown,PG,6.60%,-,-,5' 11'',6' 1.75'',7' 11.5'',170,6' 4''
Shane Larkin,PG,3.80%,7.5,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75''
Andre Barrett,PG,6.70%,-,-,5' 8.75'',5' 9.75'',7' 8'',171,6' 1''
CJ Watson,PG,5.20%,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6''
Jordan Farmar,PG,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171,6' 3''
